Pays,% Population / Agences,% Population / DAB
benin,46.7,22.4
burkina,37.3,35.3
niger,16.6,6.4
mali,28.4,22.6
civ,47.7,48.5
guinee,51.2,0.0
senegal,64.1,46.0
togo,52.4,58.9
