ADM3_FR,ADM2_FR,ADM1_FR,shape_Leng,Shape_Area,ADM0_PCODE,Country,Latitude,Longitude,Population,Area,Total_bran,Total_ATMs,Total_geoc
Faragouaran,Bougouni,Sikasso,1.024286638400000,0.042821825867700,ML,mali,11.303006999999999,-7.833621000000000,"10525",47500.000,0.000000000000000,0.000000000000000,
Monimpébougou,Macina,Ségou,1.997377591740000,0.188328130607000,ML,mali,14.243639000000000,-5.519447000000000,"33954",212600.000,0.000000000000000,0.000000000000000,
Macina,Macina,Ségou,1.529992300790000,0.091984108597800,ML,mali,14.010066000000000,-5.301075000000000,"36272",111400.000,0.000000000000000,0.000000000000000,
Kolongo,Macina,Ségou,0.918288585148000,0.040474986433900,ML,mali,13.896119000000001,-5.764115000000000,"34174",47300.000,0.000000000000000,0.000000000000000,
Kokry Centre,Macina,Ségou,0.459329915809000,0.013396866716700,ML,mali,13.949128000000000,-5.510711000000000,"17484",17800.000,0.000000000000000,0.000000000000000,
Folomana,Macina,Ségou,0.504273829624000,0.012178204710900,ML,mali,13.631073000000001,-5.164014000000000,"8411",13600.000,0.000000000000000,0.000000000000000,
Boky Were,Macina,Ségou,0.762158443820000,0.018385689940400,ML,mali,14.009138999999999,-5.733450000000000,"15402",23800.000,0.000000000000000,0.000000000000000,
Tominian,Tominian,Ségou,1.029907153260000,0.045061877990400,ML,mali,13.292871000000000,-4.532117000000000,"25053",54700.000,0.000000000000000,0.000000000000000,
Djenné,Djenné,Mopti,0.620726922853000,0.023094006119400,ML,mali,13.872563000000000,-4.508955000000000,"26267",27100.000,1.000000000000000,0.000000000000000,"1"
Pondori,Djenné,Mopti,0.618696002993000,0.017491887831900,ML,mali,13.784204000000001,-4.618914000000000,"9991",16600.000,0.000000000000000,0.000000000000000,
Néma Badenyakafo,Djenné,Mopti,1.208965843330000,0.078884558436400,ML,mali,13.831135000000000,-4.770863000000000,"46399",103600.000,0.000000000000000,0.000000000000000,
Madiama,Djenné,Mopti,0.641080191964000,0.014510540016200,ML,mali,13.845222000000000,-4.374289000000000,"11833",19600.000,0.000000000000000,0.000000000000000,
Derrary,Djenné,Mopti,0.601564482126000,0.014792262907900,ML,mali,14.066853999999999,-4.461658000000000,"6962",17800.000,0.000000000000000,0.000000000000000,
Douentza,Douentza,Mopti,0.446599796665000,0.013375603056100,ML,mali,14.981629000000000,-2.935075000000000,"24005",9000.000,1.000000000000000,0.000000000000000,"1"
Tedie,Douentza,Mopti,0.582643696019000,0.013874250830800,ML,mali,14.862957000000000,-3.137502000000000,"8792",25400.000,0.000000000000000,0.000000000000000,
Mondoro,Douentza,Mopti,3.777349530400000,0.475686370878000,ML,mali,14.849510000000000,-1.649740000000000,"42194",503000.000,0.000000000000000,0.000000000000000,
Korarou,Douentza,Mopti,1.358325614800000,0.082463065901100,ML,mali,15.306172999999999,-3.131403000000000,"3449",108900.000,0.000000000000000,0.000000000000000,
Kéréna,Douentza,Mopti,0.837020854096000,0.035354101567900,ML,mali,14.925022999999999,-2.764136000000000,"3903",33600.000,0.000000000000000,0.000000000000000,
Hombori,Douentza,Mopti,2.197136624160000,0.184853246105000,ML,mali,15.249164000000000,-1.640152000000000,"23103",253200.000,0.000000000000000,0.000000000000000,
Hairé,Douentza,Mopti,2.557057676950000,0.311292646550000,ML,mali,14.948043999999999,-2.280863000000000,"30008",415000.000,0.000000000000000,0.000000000000000,
Gandamia,Douentza,Mopti,1.254509948480000,0.078470929552100,ML,mali,15.292252000000000,-2.747070000000000,"5961",112100.000,0.000000000000000,0.000000000000000,
Djaptodji,Douentza,Mopti,3.008562561910000,0.272708550190000,ML,mali,15.621511999999999,-3.062858000000000,"36232",353000.000,0.000000000000000,0.000000000000000,
Dianwély,Douentza,Mopti,0.676323566453000,0.018064463762200,ML,mali,14.869456000000000,-2.892514000000000,"8649",20400.000,0.000000000000000,0.000000000000000,
