Country,Distance Threshold,Commune Covered,Area Covered,Population Covered
benin,60,98.68421052631578,94.59765739125817,99.32953924604817
burkina,50,91.52046783625731,85.6186738263949,94.80421871936404
mali,60,90.14084507042254,62.02408871386881,93.70043081046634
niger,80,90.7749077490775,29.94740509207738,95.3579203192881
civ,40,90.6930693069307,85.69960334863688,96.27853888982621
guinee,50,97.43589743589743,91.46391806109071,99.25685756914955
senegal,50,95.23809523809523,88.16831402929897,97.65208057711989
togo,30,93.16239316239316,90.8453826309438,96.22608491121935
